Time_ps,COM_x_A,COM_y_A,COM_z_A,COM_displacement_A,Mean_COM_displacement_A,Std_COM_displacement_A
0.0,33.901,33.8484,46.1228,0.0,0.6366,0.303
100.0,33.8884,33.99,45.8068,0.3466,0.6366,0.303
200.0,34.1738,34.1602,45.8476,0.4974,0.6366,0.303
300.0,33.9591,33.8478,46.1881,0.0873,0.6366,0.303
400.0,34.0236,34.0118,46.1749,0.2108,0.6366,0.303
500.0,33.7785,33.899,46.3762,0.2859,0.6366,0.303
600.0,33.9416,34.1495,46.4943,0.4799,0.6366,0.303
700.0,33.8436,34.3064,46.1665,0.4637,0.6366,0.303
800.0,33.8692,34.1121,46.7038,0.6388,0.6366,0.303
900.0,33.9811,34.0488,46.4535,0.3949,0.6366,0.303
1000.0,34.3488,33.9858,45.9691,0.4929,0.6366,0.303
1100.0,34.5248,34.1998,45.7551,0.8049,0.6366,0.303
1200.0,34.2901,33.623,46.4965,0.5846,0.6366,0.303
1300.0,34.4533,33.6512,46.1803,0.5892,0.6366,0.303
1400.0,34.7305,33.7224,45.7262,0.928,0.6366,0.303
1500.0,34.6493,33.7357,46.3654,0.7946,0.6366,0.303
1600.0,34.7521,33.8764,46.2127,0.8562,0.6366,0.303
1700.0,34.6738,33.8676,45.7769,0.8469,0.6366,0.303
1800.0,34.819,33.7796,45.5328,1.0934,0.6366,0.303
1900.0,34.6146,33.68,45.2119,1.1693,0.6366,0.303
2000.0,34.647,33.6351,44.9441,1.4111,0.6366,0.303
2100.0,34.3844,33.3918,45.5594,0.8716,0.6366,0.303
2200.0,34.324,33.57,46.0379,0.5134,0.6366,0.303
2300.0,34.3996,33.4991,45.5391,0.8434,0.6366,0.303
2400.0,34.3293,33.2752,45.9606,0.7337,0.6366,0.303
2500.0,34.1675,33.2687,46.2146,0.6445,0.6366,0.303
2600.0,34.0233,33.4796,46.4425,0.5031,0.6366,0.303
2700.0,34.1246,33.3462,46.6804,0.783,0.6366,0.303
2800.0,34.249,33.2655,46.3128,0.7049,0.6366,0.303
2900.0,34.0574,33.3428,46.0953,0.5299,0.6366,0.303
3000.0,34.0354,33.2496,46.2649,0.6299,0.6366,0.303
