Time_ps,Near_lipids,Mean_near_lipids,Std_near_lipids
0.0,58,60.1935,1.8871
100.0,61,60.1935,1.8871
200.0,63,60.1935,1.8871
300.0,61,60.1935,1.8871
400.0,59,60.1935,1.8871
500.0,60,60.1935,1.8871
600.0,63,60.1935,1.8871
700.0,60,60.1935,1.8871
800.0,60,60.1935,1.8871
900.0,59,60.1935,1.8871
1000.0,61,60.1935,1.8871
1100.0,59,60.1935,1.8871
1200.0,59,60.1935,1.8871
1300.0,58,60.1935,1.8871
1400.0,60,60.1935,1.8871
1500.0,59,60.1935,1.8871
1600.0,59,60.1935,1.8871
1700.0,58,60.1935,1.8871
1800.0,60,60.1935,1.8871
1900.0,60,60.1935,1.8871
2000.0,64,60.1935,1.8871
2100.0,64,60.1935,1.8871
2200.0,62,60.1935,1.8871
2300.0,63,60.1935,1.8871
2400.0,61,60.1935,1.8871
2500.0,61,60.1935,1.8871
2600.0,61,60.1935,1.8871
2700.0,58,60.1935,1.8871
2800.0,56,60.1935,1.8871
2900.0,60,60.1935,1.8871
3000.0,59,60.1935,1.8871
