Frame,Time_ps,Backbone_RMSD_A,Mean_Backbone_RMSD_A,Std_Backbone_RMSD_A
0.0,0.0,0.0,1.2103,0.3254
1.0,100.0,0.8657,1.2103,0.3254
2.0,200.0,0.7543,1.2103,0.3254
3.0,300.0,0.9005,1.2103,0.3254
4.0,400.0,0.9771,1.2103,0.3254
5.0,500.0,1.0648,1.2103,0.3254
6.0,600.0,0.9132,1.2103,0.3254
7.0,700.0,0.9929,1.2103,0.3254
8.0,800.0,1.0555,1.2103,0.3254
9.0,900.0,1.1177,1.2103,0.3254
10.0,1000.0,1.1546,1.2103,0.3254
11.0,1100.0,1.2164,1.2103,0.3254
12.0,1200.0,1.2822,1.2103,0.3254
13.0,1300.0,1.1342,1.2103,0.3254
14.0,1400.0,1.4108,1.2103,0.3254
15.0,1500.0,1.2075,1.2103,0.3254
16.0,1600.0,1.1555,1.2103,0.3254
17.0,1700.0,1.4105,1.2103,0.3254
18.0,1800.0,1.4321,1.2103,0.3254
19.0,1900.0,1.1646,1.2103,0.3254
20.0,2000.0,1.3837,1.2103,0.3254
21.0,2100.0,1.4603,1.2103,0.3254
22.0,2200.0,1.4521,1.2103,0.3254
23.0,2300.0,1.5987,1.2103,0.3254
24.0,2400.0,1.6002,1.2103,0.3254
25.0,2500.0,1.4739,1.2103,0.3254
26.0,2600.0,1.6028,1.2103,0.3254
27.0,2700.0,1.5354,1.2103,0.3254
28.0,2800.0,1.3922,1.2103,0.3254
29.0,2900.0,1.349,1.2103,0.3254
30.0,3000.0,1.4599,1.2103,0.3254
