Time_ps,Volume_A3,Mean_volume_A3,Std_volume_A3,Delta_volume_A3,Mean_delta_volume_A3,Std_delta_volume_A3
0.0,98687.3137,101990.9101,1569.1225,0.0,141.1062,1182.7721
100.0,100465.2825,101990.9101,1569.1225,1777.9688,141.1062,1182.7721
200.0,100230.3108,101990.9101,1569.1225,-234.9717,141.1062,1182.7721
300.0,101213.6025,101990.9101,1569.1225,983.2916,141.1062,1182.7721
400.0,101283.325,101990.9101,1569.1225,69.7225,141.1062,1182.7721
500.0,101186.9333,101990.9101,1569.1225,-96.3917,141.1062,1182.7721
600.0,100202.4051,101990.9101,1569.1225,-984.5282,141.1062,1182.7721
700.0,98550.9855,101990.9101,1569.1225,-1651.4196,141.1062,1182.7721
800.0,101450.4579,101990.9101,1569.1225,2899.4725,141.1062,1182.7721
900.0,101732.0235,101990.9101,1569.1225,281.5655,141.1062,1182.7721
1000.0,102750.5228,101990.9101,1569.1225,1018.4993,141.1062,1182.7721
1100.0,102531.5395,101990.9101,1569.1225,-218.9833,141.1062,1182.7721
1200.0,101944.1224,101990.9101,1569.1225,-587.4171,141.1062,1182.7721
1300.0,100064.6446,101990.9101,1569.1225,-1879.4779,141.1062,1182.7721
1400.0,102199.574,101990.9101,1569.1225,2134.9295,141.1062,1182.7721
1500.0,101474.3558,101990.9101,1569.1225,-725.2182,141.1062,1182.7721
1600.0,101428.6606,101990.9101,1569.1225,-45.6952,141.1062,1182.7721
1700.0,103037.1618,101990.9101,1569.1225,1608.5012,141.1062,1182.7721
1800.0,101823.6733,101990.9101,1569.1225,-1213.4885,141.1062,1182.7721
1900.0,101692.333,101990.9101,1569.1225,-131.3403,141.1062,1182.7721
2000.0,101974.3458,101990.9101,1569.1225,282.0128,141.1062,1182.7721
2100.0,102339.0544,101990.9101,1569.1225,364.7086,141.1062,1182.7721
2200.0,104239.3973,101990.9101,1569.1225,1900.3429,141.1062,1182.7721
2300.0,104471.7554,101990.9101,1569.1225,232.3581,141.1062,1182.7721
2400.0,105363.565,101990.9101,1569.1225,891.8095,141.1062,1182.7721
2500.0,103280.4689,101990.9101,1569.1225,-2083.0961,141.1062,1182.7721
2600.0,104401.711,101990.9101,1569.1225,1121.2422,141.1062,1182.7721
2700.0,103274.3365,101990.9101,1569.1225,-1127.3745,141.1062,1182.7721
2800.0,102808.6242,101990.9101,1569.1225,-465.7123,141.1062,1182.7721
2900.0,102554.1203,101990.9101,1569.1225,-254.5039,141.1062,1182.7721
3000.0,103061.6059,101990.9101,1569.1225,507.4855,141.1062,1182.7721
