Time_ps,COM_x_A,COM_y_A,COM_z_A,COM_displacement_A,Mean_COM_displacement_A,Std_COM_displacement_A
0.0,34.0354,33.2496,46.2649,0.0,0.3468,0.1677
100.0,34.1168,33.3441,46.1718,0.1556,0.3468,0.1677
200.0,34.223,33.243,46.1727,0.2092,0.3468,0.1677
300.0,34.2494,33.2709,46.2448,0.216,0.3468,0.1677
400.0,34.2845,33.2547,46.2096,0.2552,0.3468,0.1677
500.0,34.3055,33.0769,46.1092,0.3564,0.3468,0.1677
600.0,34.0546,33.0166,45.7982,0.5219,0.3468,0.1677
700.0,34.0069,32.9404,45.9783,0.4226,0.3468,0.1677
800.0,34.0006,33.1142,46.0684,0.2411,0.3468,0.1677
900.0,34.0797,32.9158,46.1297,0.3629,0.3468,0.1677
1000.0,34.0817,32.7164,45.8283,0.6907,0.3468,0.1677
1100.0,34.0852,32.7774,45.9487,0.5705,0.3468,0.1677
1200.0,34.0861,32.7554,45.7925,0.6856,0.3468,0.1677
1300.0,34.05,32.9699,45.7364,0.5981,0.3468,0.1677
1400.0,34.1703,33.0113,46.0559,0.3444,0.3468,0.1677
1500.0,34.0562,32.9249,46.0296,0.4015,0.3468,0.1677
1600.0,34.1562,32.9946,45.9178,0.4473,0.3468,0.1677
1700.0,34.2759,33.1304,45.8726,0.4754,0.3468,0.1677
1800.0,34.3134,33.0111,46.0731,0.4134,0.3468,0.1677
1900.0,34.2583,32.9357,46.0512,0.4403,0.3468,0.1677
2000.0,34.4482,32.9072,46.3587,0.5445,0.3468,0.1677
2100.0,34.2072,32.994,46.438,0.3533,0.3468,0.1677
2200.0,34.1808,33.0808,46.2461,0.2236,0.3468,0.1677
2300.0,34.2303,33.4025,46.107,0.2938,0.3468,0.1677
2400.0,34.1081,33.2692,46.1436,0.1428,0.3468,0.1677
2500.0,34.0936,33.3007,46.0539,0.2248,0.3468,0.1677
2600.0,34.1677,33.1784,46.4822,0.2642,0.3468,0.1677
2700.0,34.1295,33.2375,46.574,0.3234,0.3468,0.1677
2800.0,34.0466,33.3378,46.143,0.1509,0.3468,0.1677
2900.0,33.8877,33.4821,46.2595,0.2755,0.3468,0.1677
3000.0,33.8953,33.2221,46.2372,0.1455,0.3468,0.1677
