Frame,Time_ps,Backbone_RMSD_A,Mean_Backbone_RMSD_A,Std_Backbone_RMSD_A
0.0,0.0,0.0,1.0387,0.2556
1.0,100.0,0.7413,1.0387,0.2556
2.0,200.0,0.7627,1.0387,0.2556
3.0,300.0,0.8639,1.0387,0.2556
4.0,400.0,0.8637,1.0387,0.2556
5.0,500.0,0.8232,1.0387,0.2556
6.0,600.0,0.9807,1.0387,0.2556
7.0,700.0,1.0481,1.0387,0.2556
8.0,800.0,1.0364,1.0387,0.2556
9.0,900.0,0.9647,1.0387,0.2556
10.0,1000.0,1.2123,1.0387,0.2556
11.0,1100.0,1.0745,1.0387,0.2556
12.0,1200.0,1.0502,1.0387,0.2556
13.0,1300.0,0.9534,1.0387,0.2556
14.0,1400.0,0.9652,1.0387,0.2556
15.0,1500.0,0.87,1.0387,0.2556
16.0,1600.0,1.147,1.0387,0.2556
17.0,1700.0,1.096,1.0387,0.2556
18.0,1800.0,1.1332,1.0387,0.2556
19.0,1900.0,1.1769,1.0387,0.2556
20.0,2000.0,1.189,1.0387,0.2556
21.0,2100.0,1.2698,1.0387,0.2556
22.0,2200.0,1.2796,1.0387,0.2556
23.0,2300.0,1.153,1.0387,0.2556
24.0,2400.0,1.1913,1.0387,0.2556
25.0,2500.0,1.3797,1.0387,0.2556
26.0,2600.0,1.3426,1.0387,0.2556
27.0,2700.0,1.3243,1.0387,0.2556
28.0,2800.0,1.178,1.0387,0.2556
29.0,2900.0,1.0983,1.0387,0.2556
30.0,3000.0,1.031,1.0387,0.2556
