Time_ps,Volume_A3,Mean_volume_A3,Std_volume_A3,Delta_volume_A3,Mean_delta_volume_A3,Std_delta_volume_A3
0.0,103061.6059,103042.0488,1389.4449,0.0,10.2769,1357.5114
100.0,103613.5041,103042.0488,1389.4449,551.8983,10.2769,1357.5114
200.0,100921.2738,103042.0488,1389.4449,-2692.2303,10.2769,1357.5114
300.0,102730.2037,103042.0488,1389.4449,1808.9298,10.2769,1357.5114
400.0,102669.4698,103042.0488,1389.4449,-60.7338,10.2769,1357.5114
500.0,100358.0037,103042.0488,1389.4449,-2311.4662,10.2769,1357.5114
600.0,102883.2917,103042.0488,1389.4449,2525.2881,10.2769,1357.5114
700.0,100722.1016,103042.0488,1389.4449,-2161.1902,10.2769,1357.5114
800.0,101650.5647,103042.0488,1389.4449,928.4631,10.2769,1357.5114
900.0,101491.6697,103042.0488,1389.4449,-158.8949,10.2769,1357.5114
1000.0,102499.1326,103042.0488,1389.4449,1007.4629,10.2769,1357.5114
1100.0,103787.476,103042.0488,1389.4449,1288.3434,10.2769,1357.5114
1200.0,101972.8505,103042.0488,1389.4449,-1814.6255,10.2769,1357.5114
1300.0,102889.8709,103042.0488,1389.4449,917.0204,10.2769,1357.5114
1400.0,103979.1232,103042.0488,1389.4449,1089.2522,10.2769,1357.5114
1500.0,102571.2226,103042.0488,1389.4449,-1407.9005,10.2769,1357.5114
1600.0,103931.8009,103042.0488,1389.4449,1360.5783,10.2769,1357.5114
1700.0,104454.6985,103042.0488,1389.4449,522.8976,10.2769,1357.5114
1800.0,102695.3399,103042.0488,1389.4449,-1759.3587,10.2769,1357.5114
1900.0,102343.8114,103042.0488,1389.4449,-351.5284,10.2769,1357.5114
2000.0,102739.0471,103042.0488,1389.4449,395.2357,10.2769,1357.5114
2100.0,102430.1976,103042.0488,1389.4449,-308.8496,10.2769,1357.5114
2200.0,102285.7711,103042.0488,1389.4449,-144.4264,10.2769,1357.5114
2300.0,104597.8295,103042.0488,1389.4449,2312.0584,10.2769,1357.5114
2400.0,105392.7193,103042.0488,1389.4449,794.8898,10.2769,1357.5114
2500.0,106391.9546,103042.0488,1389.4449,999.2352,10.2769,1357.5114
2600.0,105775.8771,103042.0488,1389.4449,-616.0774,10.2769,1357.5114
2700.0,104278.1389,103042.0488,1389.4449,-1497.7383,10.2769,1357.5114
2800.0,103028.7612,103042.0488,1389.4449,-1249.3777,10.2769,1357.5114
2900.0,102776.0116,103042.0488,1389.4449,-252.7496,10.2769,1357.5114
3000.0,103380.1901,103042.0488,1389.4449,604.1785,10.2769,1357.5114
